"Dataset String","Pricing Page Name","Key Response Fields","Relevant For v15 Pipeline?","Estimated Cost"
"basic","Basic Property Data","address, building basics, lot info, assessment basics","✅ Base tier (required)","Included in base plan"
"core","Core Property Data / Tax Assessor","240+ assessor data points; mutually exclusive with ""basic""","⚠️ Alternative to ""basic""","Included in base plan"
"owner","Property Owner Profile","owner.fullName, owner.names[].first/last/full, owner.ownerOccupied, owner.mailingAddress","✅ YES — needed for owner name","Add-on (price not public)"
"listing","Listing Data","listing.status, listing.soldPrice, listing.soldDate, listing.price, listing.statusCategory, listing.rental, listing.originalListingDate","✅ YES — needed for sold status (v15 reads these fields)","Add-on (price not public)"
"deed","History (Deed)","deedHistory[].saleDate, deedHistory[].salePrice, deedHistory[].recordingDate, deedHistory[].documentType, sale.lastSale.price, sale.lastSale.saleDate, sale.lastTransfer.recordingDate","✅ YES — alternative/supplement for deed-confirmed sold status","Add-on (price not public)"
"mortgage-liens","Mortgage & Open Liens","140+ lien/mortgage data points","❌ Not needed for v15 goal","Included in base plan"
"foreclosure","Pre-Foreclosure","20+ pre-foreclosure data points","❌ Not needed for v15 goal","Included in base plan"
"quicklist","Quick Lists","30+ quick list filters","❌ Not needed for v15 goal","Included in base plan"
"valuation","Property Valuation","AVM estimate, confidence score, value range","❌ Not needed for v15 goal","Add-on (price not public)"
"batchrank","BatchRank","Seller motivation score","❌ Not needed for v15 goal","Add-on (price not public)"
"contact","Contact Enrichment","Phone numbers, email addresses","❌ Not needed for v15 goal","Add-on (price not public)"
"demographic","Demographics","Neighborhood demographic data","❌ Not needed for v15 goal","Add-on (price not public)"
"permit","Permit Summary","Building permit history","❌ Not needed for v15 goal","Add-on (price not public)"
"image","Image","Property images","❌ Not needed for v15 goal","Add-on (price not public)"